                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8361,                 4.6562,                 1.5922,                0.00362,                0.04791,                0.00297,                0.00156,                 1.7806,                 5.0103,                  1.423,                      0,                      0,                      0
                      2,                 1.8477,                 4.6923,                 1.5622,                0.00395,                0.12886,                0.00308,                0.00124,                 1.7594,                 4.8996,                 1.4327,              9.901e-06,              9.901e-06,              9.901e-06
                      3,                 1.7789,                 4.5698,                 1.5368,                0.50623,                0.05238,                0.00464,                0.00126,                 1.7201,                 4.7727,                 1.4345,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      4,                 1.8603,                 4.1937,                 1.5163,                 0.5113,                0.01905,                0.00654,                0.00187,                  1.664,                 4.5775,                  1.437,             2.9109e-05,             2.9109e-05,             2.9109e-05
                      5,                 1.6626,                 3.6869,                 1.4562,                0.14771,                0.25267,                0.11313,                0.08929,                 1.7004,                 4.2473,                 1.4777,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      6,                  1.508,                 3.1983,                 1.4091,                0.17421,                0.34993,                0.17013,                0.14156,                 1.7687,                 3.8859,                 1.5232,             4.7525e-05,             4.7525e-05,             4.7525e-05
                      7,                 1.4823,                 2.8098,                 1.3933,                 0.2097,                0.43103,                0.23555,                0.17215,                 1.7203,                 3.6173,                 1.5162,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      8,                  1.413,                 2.5034,                 1.2929,                0.43258,                0.36194,                0.29569,                 0.2048,                 1.6161,                 3.8207,                 1.4824,             6.5149e-05,             6.5149e-05,             6.5149e-05
                      9,                 1.2949,                 2.0667,                 1.2171,                0.47639,                0.46398,                0.37838,                0.24669,                 1.5629,                 4.9408,                 1.4539,             7.3664e-05,             7.3664e-05,             7.3664e-05
                     10,                 1.2131,                 1.7616,                 1.2348,                0.40506,                0.51371,                0.43501,                0.28382,                 1.5332,                 6.9838,                 1.4253,             8.1981e-05,             8.1981e-05,             8.1981e-05
                     11,                 1.2482,                 1.5347,                 1.2444,                 0.4059,                0.52381,                0.45791,                0.30363,                 1.5254,                 9.5523,                 1.4072,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 1.1801,                 1.3853,                 1.2073,                0.57598,                0.52857,                 0.5785,                0.36768,                 1.4458,                 10.617,                 1.3477,             9.8021e-05,             9.8021e-05,             9.8021e-05
